,name_lens,lens_link,number_of_works,collaboration_ratio,lens_h_index,scholar_article_cites,patent_cites,associated_fields,current_place_of_work
20,Marshall Wallace,https://www.lens.org/lens/orcid/0000-0001-7387-0830/scholar,2,100%,-,0,0,"['Internal medicine , Medicine , Surgery , Anesthesia , Biology , Congenital diaphragmatic hernia , Diaphragmatic hernia , Extracorporeal membrane oxygenation , Fetus , Genetics']","School of Medicine, MD Student"
21,Dazhao Xu,https://www.lens.org/lens/orcid/0000-0003-3465-0231/scholar,2,50%,1,3,0,"['Alloy , Corrosion behavior , Materials science , Metallurgy , Immersion (virtual reality) , Microstructure , Pitting corrosion , Simulated body fluid , Solution treatment']",no current information
22,Liu Chuanming,https://www.lens.org/lens/orcid/0000-0003-0678-9092/scholar,2,50%,2,23,0,"['Biology , Oocyte , Andrology , Aneuploidy , Apoptosis , Cell biology , Conditional gene knockout , Embryo , Gene , Genetics']",Nanjing Drum Tower Hospital
23,Tingfu Liu,https://www.lens.org/lens/orcid/0000-0001-8701-1420/scholar,1,100%,1,76,0,"['Asphalt , Composite material , Creep , Dynamic mechanical analysis , Dynamic shear rheometer , Epoxy , Materials science , Rheology , Thermosetting polymer , Ultimate tensile strength']",no current information
24,Joyce A Hogue,https://www.lens.org/lens/orcid/0000-0003-0848-3484/scholar,10,70%,6,132,0,"['Biology , Primary hyperparathyroidism , Medicine , Parathyroid hormone , Pathology , Calcium-sensing receptor , Cancer research , Cell biology , Internal medicine , Parathyroid chief cell']",no current information
25,luca ciotti,https://www.lens.org/lens/orcid/0000-0002-5708-5274/scholar,33,76%,10,301,0,"['Physics , Astrophysics , Galaxy , Star formation , Elliptical galaxy , Black hole , Astronomy , Luminosity , Stars , Velocity dispersion']",no current information
26,J L Baker,https://www.lens.org/lens/orcid/0000-0002-6518-8935/scholar,13,58%,7,211,1,"['Mechanics , Flow (psychology) , Geology , Granular material , Physics , Free surface , Detector , Granular media , Inclined plane , Inviscid flow']",no current information
27,J L Baker,https://www.lens.org/lens/orcid/0000-0002-6518-8935/scholar,13,58%,7,211,1,"['Mechanics , Flow (psychology) , Geology , Granular material , Physics , Free surface , Detector , Granular media , Inclined plane , Inviscid flow']",no current information
28,Alexander Katzmann,https://www.lens.org/lens/orcid/0000-0003-1958-1549/scholar,9,100%,4,51,1,"['Medicine , Artificial intelligence , Computer science , Colorectal cancer , Computed tomography , Deep learning , Radiology , Radiomics , Calibration (statistics) , Machine learning']",Siemens Healthineers
29,Nane Kratzke,https://www.lens.org/lens/orcid/0000-0001-5130-4969/scholar,46,33%,7,295,3,"['Computer science , Cloud computing , Distributed computing , Operating system , Software engineering , Computer security , Political science , Reference model , Business , German']",Technische Hochschule Lübeck
30,Moritz Mühlberg,https://www.lens.org/lens/orcid/0000-0002-5886-8991/scholar,0,-,-,0,0,[''],no current information
31,Mallory Suhling,https://www.lens.org/lens/orcid/0000-0002-5352-6706/scholar,2,50%,1,2,0,"['Calcaneal osteotomy , Medicine , Orthodontics , Screw fixation , Subtalar arthrodesis , Cost analysis , Fixation (surgical) , Heel , Nonunion , Screw head']",no current information
32,Luis Ruben Soenksen,https://www.lens.org/lens/orcid/0000-0001-7890-7209/scholar,11,70%,7,950,6,"['Computer science , Artificial intelligence , CRISPR , Computational biology , Mathematics , Modality (human–computer interaction) , Data science , Deep learning , Dermatology , Economic growth']",Massachusetts Institute of Technology
33,Nicolaas Angenent-Mari,https://www.lens.org/lens/orcid/0000-0001-5993-0091/scholar,2,100%,2,339,2,"['CRISPR , Bioelectronics , Computational biology , Computer science , Coronavirus disease 2019 (COVID-19) , Ethylene glycol , Fluidics , Materials science , Modality (human–computer interaction) , Nanoparticle']",no current information
34,Alexander Alexander,https://www.lens.org/lens/orcid/0000-0002-0590-6536/scholar,2,50%,2,54,0,"['Biology , Bone marrow , Cell biology , Chemokine , Health care , Immune system , Immunology , Inflammation , Insurance coverage , Limited access']",no current information
35,James Collins,https://www.lens.org/lens/orcid/0000-0003-4862-4851/scholar,3,33%,2,23,0,"['Linguistics , Computer science , Definiteness , Artificial intelligence , Competition (economics) , Context (language use) , Coordinate structure , Genitive case , Grammar , Implicature']",University of Hawaii at Manoa
36,george church,https://www.lens.org/lens/orcid/0000-0001-6232-9969/scholar,658,82%,≥ 100,"115,029","15,019","['Biology , Genetics , Computational biology , Genome , Gene , DNA , CRISPR , Computer science , DNA sequencing , Cell biology']",Harvard Medical School
37,Katherine Collins,https://www.lens.org/lens/orcid/0000-0002-6717-879X/scholar,21,100%,4,101,0,"['Medicine , Psychology , Neuroscience , Clinical psychology , Psychiatry , Cognition , Computer science , Internal medicine , Obsessive compulsive , Amygdala']","Neuroscience, PhD"
38,Diogo M Camacho,https://www.lens.org/lens/orcid/0000-0002-1971-3524/scholar,22,90%,16,"3,973",10,"['Biology , Systems biology , Artificial intelligence , Computational biology , Computer science , Genetics , Microbiology , Machine learning , Synthetic biology , Bioinformatics']",Harvard University Wyss Institute for Biologically Inspired Engineering
39,Li-Chi Chiang,https://www.lens.org/lens/orcid/0000-0002-6383-7495/scholar,42,72%,20,"1,157",1,"['Medicine , Asthma , Physical therapy , Nursing , Randomized controlled trial , Gerontology , Psychology , Cross-sectional study , Family medicine , Health care']",no current information
40,Chang-Chieh Cheng,https://www.lens.org/lens/orcid/0000-0002-9103-3400/scholar,2,100%,1,33,1,"['Animation , Archaeology , Computer graphics (images) , Computer science , Cyber-physical system , Exhibition , Gradient descent , History , Human–computer interaction , Instant centre of rotation']",National Yang Ming Chiao Tung University
41,Rajiv Bharadwaj,https://www.lens.org/lens/orcid/0000-0001-5095-1726/scholar,1,100%,1,12,0,"['Agar diffusion test , Alpha amylase inhibitor , Amylase , Biochemistry , Chemistry , Gel permeation chromatography , Mucuna , Mucuna pruriens , Protease , Sephadex']",no current information
42,Anup K Singh,https://www.lens.org/lens/orcid/0000-0002-5448-3138/scholar,1,-,1,1,0,"['Atom , Deposition (law) , Electrical resistivity and conductivity , Indium tin oxide , Inorganic chemistry , Materials science , Partial pressure , Resistive touchscreen , Thin film , Thin-film transistor']",Motilal Nehru National Institute of Technology
43,chandrasekaran,https://www.lens.org/lens/orcid/0000-0003-3975-3010/scholar,12,-,3,19,0,"['Computer science , Artificial intelligence , Histogram , Pattern recognition , Medicine , Hamstring , Peak signal-to-noise ratio , Adaptive histogram equalization , Avulsion injury , Biology']",Vels University
44,Lily Hillson,https://www.lens.org/lens/orcid/0000-0002-9553-6961/scholar,1,100%,-,0,0,"['Biology , Biotechnology , Cancer research , Cell biology , Effector , Hedgehog signaling pathway , Hippo signaling pathway , In vivo , Medicine , Meningioma']",no current information
45,Roy Pardee,https://www.lens.org/lens/orcid/0000-0003-1209-8159/scholar,2,100%,2,47,0,"['Medicine , Analytic element method , Body mass index , Cohort , Covariate , Incidence (epidemiology) , Linear regression , Ordinary least squares , Pediatrics , Population']",Kaiser Permanente Washington Health Research Institute
46,Masoud Norouzi,https://www.lens.org/lens/orcid/0000-0003-2943-5174/scholar,4,75%,3,87,0,"['Environmental economics , Life-cycle assessment , Circular economy , Efficient energy use , Electrical engineering , Engineering , Environmental science , Physics , Power (physics) , Quantum mechanics']",no current information
47,Mauricio Elzo,https://www.lens.org/lens/orcid/0000-0002-9319-3846/scholar,9,63%,3,40,0,"['Biology , Genetics , Gene , Population , Single-nucleotide polymorphism , Breed , Exon , Gene expression , Animal science , Brahman']",no current information
48,Dennis S,https://www.lens.org/lens/orcid/0000-0001-5883-1657/scholar,0,-,-,0,0,[''],no current information
49,jean-marc NICAUD,https://www.lens.org/lens/orcid/0000-0002-6679-972X/scholar,170,88%,61,"13,307","1,245","['Biology , Yarrowia , Biochemistry , Yeast , Gene , Chemistry , Enzyme , Genetics , Saccharomyces cerevisiae , Acyl-CoA oxidase']",Microbiologie de l'Alimentation au Service de la Santé
50,Patrick Fickers,https://www.lens.org/lens/orcid/0000-0002-2600-5833/scholar,68,95%,28,"2,998",223,"['Biology , Biochemistry , Yarrowia , Yeast , Chemistry , Bioreactor , Lipase , Bacteria , Food science , Pichia pastoris']",Université de Liège
51,Frédéric Carly,https://www.lens.org/lens/orcid/0000-0002-0127-4260/scholar,3,100%,3,118,1,"['Biochemistry , Biology , Erythritol , Glycerol , Sugar alcohol , Yarrowia , Bioreactor , Catabolism , Chemostat , Chromatography']",no current information
52,Robert Holt,https://www.lens.org/lens/orcid/0000-0002-7259-1247/scholar,225,85%,≥ 100,"137,301","3,160","['Biology , Genetics , Gene , Genome , Cancer research , Computational biology , Cancer , Genomics , Medicine , Bioinformatics']",University of British Columbia
53,Brittany Needham,https://www.lens.org/lens/orcid/0000-0002-0280-1886/scholar,18,67%,15,"1,387",29,"['Biology , Lipid A , Autism spectrum disorder , Bacterial outer membrane , Cell biology , Gut flora , Immunology , Medicine , Microbiome , Biochemistry']",no current information
54,David Giles,https://www.lens.org/lens/orcid/0000-0001-8016-0538/scholar,21,63%,6,116,0,"['Geology , Engineering geology , Landslide , Archaeology , Context (language use) , Earth science , Engineering , Geography , Geohazard , Geologic time scale']",Card Geotechnics Ltd
55,Paul whiteley,https://www.lens.org/lens/orcid/0000-0002-5640-9476/scholar,88,50%,19,"2,644",0,"['Political science , Politics , Economics , Political economy , Law , Sociology , General election , Public administration , Democracy , Economic history']",University of Essex
56,Zhang Feilong,https://www.lens.org/lens/orcid/0000-0001-5130-5857/scholar,2,100%,2,71,1,"['Medicine , Age and gender , Artificial intelligence , Bioinformatics , Cancer , Chronic fatigue syndrome , Diabetes mellitus , Disease , Human studies , Linear discriminant analysis']",no current information
57,Hubertus Hochrein,https://www.lens.org/lens/orcid/0000-0001-9904-1934/scholar,71,80%,43,"12,144",740,"['Biology , Immunology , Cell biology , Immune system , Dendritic cell , Antigen , Molecular biology , Antigen-presenting cell , CD8 , Cytotoxic T cell']",no current information
58,Heyun Shen,https://www.lens.org/lens/orcid/0000-0001-7960-3864/scholar,5,80%,1,14,0,"['Chemistry , Materials science , Nanoparticle , Biochemistry , Biology , Biophysics , Chromatography , Nanotechnology , Organic chemistry , Photothermal therapy']",Beijing University of Chemical Technology
59,Paul Rothemund,https://www.lens.org/lens/orcid/0000-0002-1653-3202/scholar,11,78%,6,237,9,"['Chemistry , Computer science , DNA origami , Materials science , Nanostructure , Nanotechnology , Biology , Biophysics , RNA , Biomolecule']","Computer Science, Ph.D."
60,Niles Pierce,https://www.lens.org/lens/orcid/0000-0003-2367-4406/scholar,16,71%,9,"1,009",25,"['Chemistry , Computer science , Biology , Computational biology , In situ hybridization , RNA , Chain reaction , Context (language use) , Crosstalk (biology) , Nucleic acid']",California Institute of Technology
61,Shi Pei,https://www.lens.org/lens/orcid/0000-0002-1899-0810/scholar,4,100%,3,26,0,"['Computer science , Data mining , Wireless sensor network , Agriculture , Anomaly detection , Cluster analysis , Correlation , Correlation coefficient , Data acquisition , Data loss']",no current information
62,Panpan Li,https://www.lens.org/lens/orcid/0000-0001-5404-8657/scholar,0,-,-,0,0,[''],no current information
63,Qi Lyu,https://www.lens.org/lens/orcid/0000-0003-4101-2334/scholar,4,50%,1,19,0,"['Medicine , Internal medicine , Ultrasound , Carotid endarterectomy , Contrast-enhanced ultrasound , Fibrous cap , Neovascularization , Radiology , Vulnerable plaque , Angiogenesis']",no current information
64,Wu Tao,https://www.lens.org/lens/orcid/0000-0003-4454-730X/scholar,4,100%,2,14,0,"['Algorithm , Computer science , Encryption , Key (cryptography) , Chaotic , Pixel , Scrambling , Cipher , Ciphertext , Image (mathematics)']",
65,Yafei Dong,https://www.lens.org/lens/orcid/0000-0002-7691-7304/scholar,2,100%,1,2,0,"['Cylinder (engine) , Dynamic simulation , Environmental science , Flue gas , Hydraulic machinery , Hydraulic pump , Petroleum engineering , Piston , Plunger , Reversing valve']",
66,Matthias,https://www.lens.org/lens/orcid/0000-0003-4012-6583/scholar,1,100%,1,10,0,"['Biophysics , Chemistry , Intestinal mucus , Microrheology , Mucus , Pathology , Respiratory system , Respiratory tract , Rheology , Rheometry']",Universität des Saarlandes
67,Jacqueline P. Kurz,https://www.lens.org/lens/orcid/0000-0003-3918-521X/scholar,2,100%,2,11,0,"['Medicine , Ataxia , Cytokine storm , Fasciculation , Immunology , Lumbar Spinal Cord , Paresis , Pathogenesis , Proinflammatory cytokine , Proprioception']",no current information
68,Darren Yap,https://www.lens.org/lens/orcid/0000-0003-4671-2110/scholar,7,43%,3,22,0,"['Medicine , Surgery , Chest pain , Emergency department , Pneumothorax , Abscess , Adverse effect , Anatomy , Anesthesia , Auscultation']",no current information
69,Fernanda Faulstich,https://www.lens.org/lens/orcid/0000-0002-6525-3020/scholar,1,-,-,0,0,"['Art , Humanities']",no current information
70,Fernanda Faulstich,https://www.lens.org/lens/orcid/0000-0002-6525-3020/scholar,1,-,-,0,0,"['Art , Humanities']",no current information
71,Reiner Anderl,https://www.lens.org/lens/orcid/0000-0001-7681-2118/scholar,65,42%,3,28,0,"['Computer science , Engineering , Philosophy , Mathematics , Operating system , Engineering drawing , Business , CAD , Finite element method , Geometry']",Technische Universität Darmstadt
72,Daniel Moldenhauer,https://www.lens.org/lens/orcid/0000-0002-8673-0068/scholar,10,50%,9,180,0,"['Chemistry , Nanoparticle , Supramolecular chemistry , Aqueous solution , Fluorescence , Photochemistry , Polyelectrolyte , Dynamic light scattering , Fluorescence spectroscopy , Materials science']",Laxxon Medical GmbH
73,Michael McPherson,https://www.lens.org/lens/orcid/0000-0002-2675-2329/scholar,34,57%,18,802,5,"['Materials science , Silicon , Diode , Optoelectronics , Irradiation , Semiconductor , Thermal energy storage , Doping , Physics , Radiation damage']",no current information
74,Darren Tomlinson,https://www.lens.org/lens/orcid/0000-0003-4134-7484/scholar,75,68%,33,"3,545",327,"['Biology , Chemistry , Cell biology , Affimer , Cancer research , Biochemistry , Internal medicine , Computational biology , Medicine , Cell growth']",University of Leeds
75,Mojtaba Akhavan-Tafti,https://www.lens.org/lens/orcid/0000-0003-3721-2114/scholar,29,95%,9,217,0,"['Physics , Solar wind , Plasma , Magnetopause , Computational physics , Magnetosphere , Astrophysics , Magnetic reconnection , Nuclear physics , Coronal mass ejection']",no current information
76,Pavel Agraval,https://www.lens.org/lens/orcid/0000-0001-7534-3938/scholar,56,48%,13,649,4,"['Thermodynamics , Materials science , Enthalpy , Enthalpy of mixing , Chemistry , CALPHAD , Mixing (physics) , Phase (matter) , Metallurgy , Calorimetry']",Donbas State Engineering Academy
77,kristina dzin,https://www.lens.org/lens/orcid/0000-0002-6116-2359/scholar,1,-,-,0,0,"['Archaeological prospection , Archaeology , Architecture , Bathymetry , Context (archaeology) , Excavation , Geology , Ground-penetrating radar , Remote sensing (archaeology) , Settlement (structural)']",no current information
78,Usha Goswami,https://www.lens.org/lens/orcid/0000-0001-7858-2336/scholar,127,47%,48,"10,580",5,"['Psychology , Cognitive psychology , Dyslexia , Linguistics , Reading (process) , Phonology , Audiology , Computer science , Perception , Developmental psychology']",University of Cambridge
79,Anutosh Ganguly,https://www.lens.org/lens/orcid/0000-0002-7228-7827/scholar,37,81%,18,"1,034",5,"['Biology , Cell biology , Microtubule , Tubulin , Chemistry , Mitosis , Centrosome , Cell division , Cell migration , Immune system']",no current information
80,Steven Jingliang XU,https://www.lens.org/lens/orcid/0000-0001-9199-7165/scholar,17,54%,8,359,2,"['Biology , Dinoflagellate , Chemistry , Ecology , Zoology , Algal bloom , Chattonella marina , Microbiology , Toxicity , Biomass']",Hong Kong Metropolitan University
81,Yongkun Lv,https://www.lens.org/lens/orcid/0000-0002-4188-9307/scholar,18,61%,9,444,4,"['Chemistry , Biochemistry , Biology , Metabolic engineering , Organic chemistry , Auxotrophy , Biofuel , Coniferyl alcohol , Enzyme , Fermentation']",Zhengzhou University
82,Lijuan Zhu,https://www.lens.org/lens/orcid/0000-0002-7260-1177/scholar,1,-,1,97,1,"['Chemical engineering , Chemistry , Covalent bond , Covalent organic framework , Crystallization , Dynamic covalent chemistry , Hydrogen , Hydrogen storage , Metal-organic framework , Molecule']",no current information
83,Hanjie Ying,https://www.lens.org/lens/orcid/0000-0002-4061-0001/scholar,159,45%,35,"3,421",56,"['Chemistry , Biochemistry , Chromatography , Biology , Fermentation , Adsorption , Chemical engineering , Enzyme , Aqueous solution , Butanol']",Nanjing Tech University
84,Wenlong Xiong,https://www.lens.org/lens/orcid/0000-0002-0139-2152/scholar,6,100%,4,30,0,"['Chemistry , Organic chemistry , Lignin , Materials science , Aqueous solution , Biology , Chemical engineering , Composite material , Composite number , Electrode']",Zhengzhou University
85,Olaniyi Alamu,https://www.lens.org/lens/orcid/0000-0002-4272-8863/scholar,0,-,-,0,0,[''],no current information
86,Gaotian Zhang,https://www.lens.org/lens/orcid/0000-0001-6468-1341/scholar,24,70%,8,336,0,"['Biology , Caenorhabditis elegans , Evolutionary biology , Genetics , Gene , Genetic diversity , Caenorhabditis , Population , Allele , Genetic variation']",no current information
87,Lingbo,https://www.lens.org/lens/orcid/0000-0002-1783-9529/scholar,1,100%,1,18,0,"['Artificial intelligence , Computer science , Computer vision , Deep learning , Image based , Occupancy']",no current information
88,Baishan Tang,https://www.lens.org/lens/orcid/0000-0002-9318-4528/scholar,1,-,1,6,0,"['Antigen , Antigen processing , Avidity , Biology , Cytotoxic T cell , Epidermal growth factor , Epitope , HLA-A2 Antigen , Immunotherapy , Molecular biology']",no current information
89,Shuai Shuai,https://www.lens.org/lens/orcid/0000-0001-6789-2910/scholar,5,60%,4,84,0,"['Cancer research , Carcinogenesis , Biology , Cancer , Cell biology , Chemistry , Cyclin D1 , Gene silencing , Signal transduction , Breast cancer']",no current information
90,Minliang Chen,https://www.lens.org/lens/orcid/0000-0003-3828-0186/scholar,4,50%,4,80,10,"['Biochemistry , Chemistry , Aromatic amino acids , Biosynthesis , Escherichia coli , Metabolic pathway , Mutant , Arginine , Biology , Bioproduction']",no current information
91,HengYu Zhang,https://www.lens.org/lens/orcid/0000-0001-6046-2600/scholar,1,-,1,1,0,"['Algorithm , Artificial intelligence , Computer science , Deep belief network , Deep learning , Feature extraction , Feature learning , Nonlinear system']",Beijing University of Chemical Technology
92,Yongyu Liu,https://www.lens.org/lens/orcid/0000-0002-1887-1125/scholar,1,100%,-,0,0,"['In patient , Lung cancer , Medicine , Non small cell , Propensity score matching , Radiology , Stage (cooking)']",no current information
93,han chao,https://www.lens.org/lens/orcid/0000-0001-6222-6898/scholar,0,-,-,0,0,[''],no current information
94,Zhiwei Xing,https://www.lens.org/lens/orcid/0000-0003-4933-1591/scholar,2,100%,1,1,0,"['Computer science , Archaeology , Benchmark (computing) , Causality , Computer security , Data mining , Engineering , Flight service station , Fuzzy logic , History']",Civil Aviation University of China
95,Xu ping,https://www.lens.org/lens/orcid/0000-0002-6232-5332/scholar,1,100%,1,6,0,"['Biology , Cell , Diabetes mellitus , Endocrinology , Hormone , Internal medicine , Islet , Phosphatidylinositol , Real-time polymerase chain reaction , Type 2 Diabetes Mellitus']","上海中医药大学，中国 Shanghai University of Traditional Chinese Medicine, China"
96,Hongzhi Tang,https://www.lens.org/lens/orcid/0000-0002-7743-0186/scholar,32,93%,9,303,2,"['Chemistry , Biology , Genetics , Bacteria , Biochemistry , Bioremediation , Enzyme , Biodegradation , Ecology , Environmental chemistry']",no current information
97,Kunzhi Shen,https://www.lens.org/lens/orcid/0000-0003-3578-184X/scholar,10,30%,9,396,2,"['Polymer chemistry , Membrane , Arylene , Ether , Thermal stability , Chemistry , Materials science , Monomer , Nafion , Ketone']",Shenyang Photosensitive Chemical Research Institute
98,Wu Geng,https://www.lens.org/lens/orcid/0000-0002-1120-8638/scholar,8,75%,1,7,0,"['Biology , Cell biology , Chemistry , Biochemistry , Computational biology , DNA , Epigenetics , Genetics , 2019-20 coronavirus outbreak , Biophysics']",no current information
99,Tao Fei,https://www.lens.org/lens/orcid/0000-0001-9906-532X/scholar,23,59%,9,243,13,"['Chemistry , Food science , Soybean oil , Wax , Organic chemistry , Carnauba wax , Chromatography , Coating , Extraction (chemistry) , Materials science']",Hainan University
100,Jibamitra Ganguly,https://www.lens.org/lens/orcid/0009-0004-8919-2228/scholar,1,-,-,0,0,[''],no current information
101,Roberto Maldonado,https://www.lens.org/lens/orcid/0000-0002-1691-6924/scholar,2,100%,2,20,1,"['Computer network , Computer science , 5G , Cellular network , Latency (engineering) , Listen before talk , Network packet , Open spectrum , Reliability (computer networking) , Scheduling (computing)']",no current information
102,Takashi Kishimoto,https://www.lens.org/lens/orcid/0000-0002-2811-1410/scholar,18,75%,4,58,0,"['Internal medicine , Medicine , Biology , Chemistry , Computer science , Pathology , Biochemistry , Cancer , Cell biology , Immunology']",no current information
103,Jihong Jiang,https://www.lens.org/lens/orcid/0000-0001-6453-6507/scholar,2,100%,-,0,0,"['Computer science , Algorithm , Artificial intelligence , Artificial neural network , Base station , Channel (broadcasting) , Computer network , Computer security , Convergence (economics) , Economic growth']",no current information
104,xiaoying cao,https://www.lens.org/lens/orcid/0000-0002-5375-0257/scholar,3,67%,3,37,1,"['Optoelectronics , Photodetection , Photodetector , Materials science , Responsivity , Silicon on insulator , Diode , Electric potential , Heterojunction , Impact ionization']",no current information
105,wang jingyi,https://www.lens.org/lens/orcid/0000-0001-6934-5654/scholar,2,100%,-,0,0,"['Archaeology , Geography , Acoustics , Bay , Biology , Business , Cartography , Computer science , Context (archaeology) , Distribution (mathematics)']",no current information
106,Fangzhou ZHANG,https://www.lens.org/lens/orcid/0000-0001-8604-0668/scholar,5,100%,2,7,0,"['Materials science , Composite material , Ion , Physics , Analytical Chemistry (journal) , Aqueous solution , Battery (electricity) , Carbon fiber reinforced polymer , Chemical engineering , Chemistry']",no current information
107,Chunlei Wang,https://www.lens.org/lens/orcid/0000-0001-7843-7286/scholar,9,83%,3,26,0,"['Condensed matter physics , Materials science , Flux pinning , Chemistry , Magnetic field , Physics , Quantum mechanics , Superconductivity , Amplitude , Analytical Chemistry (journal)']",no current information
108,Ya Sun,https://www.lens.org/lens/orcid/0000-0002-8765-9945/scholar,0,-,-,0,0,[''],
109,Zhengyang Liu,https://www.lens.org/lens/orcid/0000-0001-6986-3160/scholar,5,60%,5,138,0,"['Chemical physics , Flow (psychology) , Materials science , Nanoparticle , Nanotechnology , Physics , Anisotropic diffusion , Binary fluid , Boundary layer , Colloid']",no current information
